date,competition,home_team,score,home_score,away_score,away_team,venue,result
2025-09-05,2026 FIFA World Cup qualification,Egypt,2-0,2,0,Ethiopia,"Cairo, Egypt",Egypt
2025-09-05,2026 FIFA World Cup qualification,Haiti,0-0,0,0,Honduras,"Ergilio Hato Stadium, Willemstad",Draw
2025-09-05,2026 FIFA World Cup qualification,Trinidad and Tobago,0-0,0,0,Curacao,"Port of Spain, Trinidad and Tobago",Draw
2025-09-05,2026 FIFA World Cup qualification,Denmark,0-0,0,0,Scotland,"Parken Stadium, Copenhagen",Draw
2025-09-05,2026 FIFA World Cup qualification,Faroe Islands,0-1,0,1,Croatia,"Torshavn, Faroe Islands",Croatia
2025-09-05,2026 FIFA World Cup qualification,Montenegro,0-2,0,2,Czech Republic,"Podgorica, Montenegro",Czech Republic
2025-09-05,2026 FIFA World Cup qualification,Morocco,5-0,5,0,Niger,"Rabat, Morocco",Morocco
2025-09-05,2026 FIFA World Cup qualification,Slovenia,2-2,2,2,Sweden,"Ljubljana, Slovenia",Draw
2025-09-05,2026 FIFA World Cup qualification,Switzerland,4-0,4,0,Kosovo,"Basel, Switzerland",Switzerland
2025-09-05,2026 FIFA World Cup qualification,Ukraine,0-2,0,2,France,"Wroclaw, Poland",France
2025-09-06,2026 FIFA World Cup qualification,England,2-0,2,0,Andorra,"Birmingham, England",England
2025-09-06,2026 FIFA World Cup qualification,Armenia,0-5,0,5,Portugal,"Yerevan, Armenia",Portugal
2025-09-06,2026 FIFA World Cup qualification,Austria,1-0,1,0,Cyprus,"Linz, Austria",Austria
2025-09-06,2026 FIFA World Cup qualification,San Marino,0-6,0,6,Bosnia and Herzegovina,"Serravalle, San Marino",Bosnia and Herzegovina
2025-09-07,2026 FIFA World Cup qualification,Belgium,6-0,6,0,Kazakhstan,"Anderlecht, Belgium",Belgium
2025-09-07,2026 FIFA World Cup qualification,Germany,3-1,3,1,Northern Ireland,"Cologne, Germany",Germany
2025-09-07,2026 FIFA World Cup qualification,Turkey,0-6,0,6,Spain,"Konya, Turkey",Spain
2025-09-07,2026 FIFA World Cup qualification,Lithuania,2-3,2,3,Netherlands,"Kaunas, Lithuania",Netherlands
2025-09-08,2026 FIFA World Cup qualification,Guinea,0-0,0,0,Algeria,"Casablanca, Morocco",Draw
2025-09-08,2026 FIFA World Cup qualification,Equatorial Guinea,0-1,0,1,Tunisia,"Malabo, Equatorial Guinea",Tunisia
2025-09-08,2026 FIFA World Cup qualification,Croatia,4-0,4,0,Montenegro,"Zagreb, Croatia",Croatia
2025-09-08,2026 FIFA World Cup qualification,Ghana,1-0,1,0,Mali,"Accra, Ghana",Ghana
2025-09-08,2026 FIFA World Cup qualification,Kosovo,2-0,2,0,Sweden,"Pristina, Kosovo",Kosovo
2025-09-08,2026 FIFA World Cup qualification,Panama,1-1,1,1,Guatemala,"Panama City, Panama",Draw
2025-09-08,2026 FIFA World Cup qualification,Scotland,2-0,2,0,Belarus,"ZTE Arena, Zalaegerszeg",Scotland
2025-09-08,2026 FIFA World Cup qualification,Switzerland,3-0,3,0,Slovenia,"Basel, Switzerland",Switzerland
2025-09-08,2026 FIFA World Cup qualification,Zambia,0-2,0,2,Morocco,"Ndola, Zambia",Morocco
2025-09-09,2026 FIFA World Cup qualification,Cape Verde,1-0,1,0,Cameroon,"Praia, Cape Verde",Cape Verde
2025-09-09,2026 FIFA World Cup qualification,Gabon,0-0,0,0,Ivory Coast,"Franceville, Gabon",Draw
2025-09-09,2026 FIFA World Cup qualification,Bolivia,1-0,1,0,Brazil,"El Alto Municipal Stadium, El Alto",Bolivia
2025-09-09,2026 FIFA World Cup qualification,Burkina Faso,0-0,0,0,Egypt,"Ouagadougou, Burkina Faso",Draw
2025-09-09,2026 FIFA World Cup qualification,Curacao,3-2,3,2,Bermuda,"Willemstad, Curacao",Curacao
2025-09-09,2026 FIFA World Cup qualification,Ecuador,1-0,1,0,Argentina,"Estadio Monumental Isidro Romero Carbo, Guayaquil",Ecuador
2025-09-09,2026 FIFA World Cup qualification,Haiti,3-3,3,3,Costa Rica,"Estadio Nacional, San Jose",Draw
2025-09-09,2026 FIFA World Cup qualification,Norway,11-1,11,1,Moldova,"Oslo, Norway",Norway
2025-09-09,2026 FIFA World Cup qualification,Paraguay,1-0,1,0,Peru,"Estadio Nacional del Peru, Lima",Paraguay
2025-09-09,2026 FIFA World Cup qualification,Venezuela,3-6,3,6,Colombia,"Estadio Monumental, Maturin",Colombia
2025-09-09,2026 FIFA World Cup qualification,Serbia,0-5,0,5,England,"Belgrade, Serbia",England
2025-09-09,2026 FIFA World Cup qualification,Hungary,2-3,2,3,Portugal,"Budapest, Hungary",Portugal
2025-09-09,2026 FIFA World Cup qualification,Bosnia and Herzegovina,1-2,1,2,Austria,"Zenica, Bosnia and Herzegovina",Austria
2025-09-09,2026 FIFA World Cup qualification,Chile,0-0,0,0,Uruguay,"Santiago, Chile",Draw
2025-09-09,2026 FIFA World Cup qualification,France,2-1,2,1,Iceland,"Paris, France",France
2025-10-08,2026 FIFA World Cup qualification,Libya,3-3,3,3,Cape Verde,"Tripoli, Libya",Draw
2025-10-08,2026 FIFA World Cup qualification,Djibouti,0-3,0,3,Egypt,"Casablanca, Morocco",Egypt
2025-10-08,2026 FIFA World Cup qualification,Central African Republic,0-5,0,5,Ghana,"El Jadida, Morocco",Ghana
2025-10-08,2026 FIFA World Cup qualification,Indonesia,2-3,2,3,Saudi Arabia,"Jeddah, Saudi Arabia",Saudi Arabia
2025-10-09,2026 FIFA World Cup qualification,Somalia,0-3,0,3,Algeria,"Oran, Algeria",Algeria
2025-10-09,2026 FIFA World Cup qualification,Haiti,3-0,3,0,Nicaragua,"Estadio Nacionall, Managua",Haiti
2025-10-09,2026 FIFA World Cup qualification,Austria,10-0,10,0,San Marino,"Vienna, Austria",Austria
2025-10-09,2026 FIFA World Cup qualification,Cyprus,2-2,2,2,Bosnia and Herzegovina,"Larnaca, Cyprus",Draw
2025-10-09,2026 FIFA World Cup qualification,Czech Republic,0-0,0,0,Croatia,"Prague, Czech Republic",Draw
2025-10-09,2026 FIFA World Cup qualification,Malta,0-4,0,4,Netherlands,"Ta' Qali, Malta",Netherlands
2025-10-09,2026 FIFA World Cup qualification,Scotland,3-1,3,1,Greece,"Hampden Park, Glasgow",Scotland
2025-10-10,2026 FIFA World Cup qualification,Seychelles,0-7,0,7,Ivory Coast,"Saint Pierre, Mauritius",Ivory Coast
2025-10-10,2026 FIFA World Cup qualification,Curacao,2-0,2,0,Jamaica,"Willemstad, Curacao",Curacao
2025-10-10,2026 FIFA World Cup qualification,Sao Tome and Principe,0-6,0,6,Tunisia,"Tunis, Tunisia",Tunisia
2025-10-10,2026 FIFA World Cup qualification,Belgium,0-0,0,0,North Macedonia,"Ghent, Belgium",Draw
2025-10-10,2026 FIFA World Cup qualification,Germany,4-0,4,0,Luxembourg,"Sinsheim, Germany",Germany
2025-10-10,2026 FIFA World Cup qualification,El Salvador,0-1,0,1,Panama,"San Salvador, El Salvador",Panama
2025-10-10,2026 FIFA World Cup qualification,France,3-0,3,0,Azerbaijan,"Paris, France",France
2025-10-10,2026 FIFA World Cup qualification,Sweden,0-2,0,2,Switzerland,"Solna, Sweden",Switzerland
2025-10-11,2026 FIFA World Cup qualification,Iraq,1-0,1,0,Indonesia,"Jeddah, Saudi Arabia",Iraq
2025-10-11,2026 FIFA World Cup qualification,Norway,5-0,5,0,Israel,"Oslo, Norway",Norway
2025-10-11,2026 FIFA World Cup qualification,Portugal,1-0,1,0,Republic of Ireland,"Lisbon, Portugal",Portugal
2025-10-11,2026 FIFA World Cup qualification,Spain,2-0,2,0,Georgia,"Elche, Spain",Spain
2025-10-11,2026 FIFA World Cup qualification,Bulgaria,1-6,1,6,Turkey,"Sofia, Bulgaria",Turkey
2025-10-12,2026 FIFA World Cup qualification,Egypt,1-0,1,0,Guinea-Bissau,"Cairo, Egypt",Egypt
2025-10-12,2026 FIFA World Cup qualification,Croatia,3-0,3,0,Gibraltar,"Varazdin, Croatia",Croatia
2025-10-12,2026 FIFA World Cup qualification,Faroe Islands,2-1,2,1,Czech Republic,"Torshavn, Faroe Islands",Faroe Islands
2025-10-12,2026 FIFA World Cup qualification,Ghana,1-0,1,0,Comoros,"Accra, Ghana",Ghana
2025-10-12,2026 FIFA World Cup qualification,Netherlands,4-0,4,0,Finland,"Amsterdam, Netherlands",Netherlands
2025-10-12,2026 FIFA World Cup qualification,Romania,1-0,1,0,Austria,"Bucharest, Romania",Romania
2025-10-12,2026 FIFA World Cup qualification,Scotland,2-1,2,1,Belarus,"Hampden Park, Glasgow",Scotland
2025-10-13,2026 FIFA World Cup qualification,Cape Verde,3-0,3,0,Eswatini,"Praia, Cape Verde",Cape Verde
2025-10-13,2026 FIFA World Cup qualification,Haiti,0-3,0,3,Honduras,"Estadio Nacional Chelato Ucles, Tegucigalpa",Honduras
2025-10-13,2026 FIFA World Cup qualification,Tunisia,3-0,3,0,Namibia,"Tunis, Tunisia",Tunisia
2025-10-13,2026 FIFA World Cup qualification,Northern Ireland,0-1,0,1,Germany,"Belfast, Northern Ireland",Germany
2025-10-13,2026 FIFA World Cup qualification,Wales,2-4,2,4,Belgium,"Cardiff, Wales",Belgium
2025-10-13,2026 FIFA World Cup qualification,Iceland,2-2,2,2,France,"Reykjavik, Iceland",Draw
2025-10-13,2026 FIFA World Cup qualification,Slovenia,0-0,0,0,Switzerland,"Ljubljana, Slovenia",Draw
2025-10-13,2026 FIFA World Cup qualification,Sweden,0-1,0,1,Kosovo,"Gothenburg, Sweden",Kosovo
2025-10-14,2026 FIFA World Cup qualification,Ivory Coast,3-0,3,0,Kenya,"Abidjan, Ivory Coast",Ivory Coast
2025-10-14,2026 FIFA World Cup qualification,Algeria,2-1,2,1,Uganda,"Tizi Ouzou, Algeria",Algeria
2025-10-14,2026 FIFA World Cup qualification,Curacao,1-1,1,1,Trinidad and Tobago,"Willemstad, Curacao",Draw
2025-10-14,2026 FIFA World Cup qualification,Saudi Arabia,0-0,0,0,Iraq,"Jeddah, Saudi Arabia",Draw
2025-10-14,2026 FIFA World Cup qualification,Latvia,0-5,0,5,England,"Riga, Latvia",England
2025-10-14,2026 FIFA World Cup qualification,Portugal,2-2,2,2,Hungary,"Lisbon, Portugal",Draw
2025-10-14,2026 FIFA World Cup qualification,Spain,4-0,4,0,Bulgaria,"Valladolid, Spain",Spain
2025-10-14,2026 FIFA World Cup qualification,Morocco,1-0,1,0,Congo,"Rabat, Morocco",Morocco
2025-10-14,2026 FIFA World Cup qualification,Panama,1-1,1,1,Suriname,"Panama City, Panama",Draw
2025-10-14,2026 FIFA World Cup qualification,Turkey,4-1,4,1,Georgia,"Izmit, Turkey",Turkey
2025-11-13,2026 FIFA World Cup qualification,Bermuda,0-7,0,7,Curacao,"Hamilton, Bermuda",Curacao
2025-11-13,2026 FIFA World Cup qualification,Haiti,1-0,1,0,Costa Rica,"Ergilio Hato Stadium, Willemstad",Haiti
2025-11-13,2026 FIFA World Cup qualification,Norway,4-1,4,1,Estonia,"Oslo, Norway",Norway
2025-11-13,2026 FIFA World Cup qualification,United Arab Emirates,1-1,1,1,Iraq,"Abu Dhabi, United Arab Emirates",Draw
